Deelnemer,Geen tijdsdruk start,geen tijdsdruk eind,Licht tijdsdruk start,lichte tijdsdruk eind,Hoge tijdsdruk start,hoge tijdsdruk eind
1,298,389,455,516,590,620
2,244,319,376,436,497,527
3,115,165,242,302,377,407
4,205,295,362,422,490,520
5,236,307,390,450,506,536
6,185,229,308,355,416,446
7,268,381,445,505,568,598
8,180,227,295,342,405,435
9,230,310,382,442,504,534
10,194,382,456,516,582,612
11,230,263,353,399,455,485
12,225,298,365,425,487,517
13,268,360,424,484,552,582
14,246,315,388,431,514,544
15,153,255,322,382,453,483
16,208,280,343,403,462,492
17,194,362,435,495,567,597
18,122,178,237,288,352,382
19,78,176,232,292,346,376
20,164,328,389,449,517,547
